"","","5%","95%"
"b[dreuth species:Louisiana_Waterthrush]",-1.36949176593114,-2.60557830596375,-0.264672677585266
"b[fidino species:Louisiana_Waterthrush]",-0.00204225649103679,-1.12057047022579,1.0583436305491
"b[(Intercept) species:Magnolia_Warbler]",1.46949712023058,0.955684348880969,1.98407279999121
"b[dreuth species:Magnolia_Warbler]",0.198476860322929,-0.136713311356965,0.52512147834368
"b[fidino species:Magnolia_Warbler]",0.510259598769004,-0.0483194530091255,1.06616616581695
"b[(Intercept) species:Marsh_Wren]",-1.16742454083441,-2.04254732566142,-0.357157067203452
"b[dreuth species:Marsh_Wren]",0.354862407471295,-0.432599377723085,1.16237319958973
"b[fidino species:Marsh_Wren]",0.908091024601983,-0.094556649689389,1.9106314457247
"b[(Intercept) species:Mourning_Dove]",0.307156557808285,-0.140497391491777,0.729205505425678
"b[dreuth species:Mourning_Dove]",-0.570381450074911,-1.0524366860292,-0.087797879171708
"b[fidino species:Mourning_Dove]",1.28071212352154,0.78263935376321,1.782834263424
"b[(Intercept) species:Mourning_Warbler]",0.115973608820054,-0.356760854325277,0.568356811845042
"b[dreuth species:Mourning_Warbler]",0.402554621842484,-0.0399616091489009,0.852399728376316
"b[fidino species:Mourning_Warbler]",-0.194915840847788,-0.87275476343629,0.445620665549475
"b[(Intercept) species:Nashville_Warbler]",-0.718688769215721,-1.26613478316124,-0.211409902395373
"b[dreuth species:Nashville_Warbler]",1.2825017905425,0.796493044848236,1.78987435674802
"b[fidino species:Nashville_Warbler]",1.25614087509811,0.661857680455726,1.87385766462189
"b[(Intercept) species:Northern_Cardinal]",-2.67569749358987,-3.79983040786275,-1.73592606008833
"b[dreuth species:Northern_Cardinal]",1.73005515318114,0.842042654408414,2.77824940953092
"b[fidino species:Northern_Cardinal]",6.05757598432599,5.09638545014108,7.15416594645737
"b[(Intercept) species:Northern_Flicker]",2.36282357659885,1.83212009034661,2.89912571475555
"b[dreuth species:Northern_Flicker]",0.895334693395756,0.584786454757908,1.20631488947414
"b[fidino species:Northern_Flicker]",0.131482314460759,-0.409711612755936,0.66401467388253
"b[(Intercept) species:Northern_Mockingbird]",-2.60195766418493,-3.83008333325226,-1.55203407717401
"b[dreuth species:Northern_Mockingbird]",-0.21598360649842,-1.46046125648033,1.0090213469503
