"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","lowername"
NA,"ARRW","*","Arrowhead Warbler","Setophaga pharetra","SETPHA",NA,"arrowhead warbler"
NA,"HOWA",NA,"Hooded Warbler","Setophaga citrina","SETCIT",NA,"hooded warbler"
NA,"AMRE",NA,"American Redstart","Setophaga ruticilla","SETRUT",NA,"american redstart"
NA,"KIWA",NA,"Kirtland's Warbler","Setophaga kirtlandii","SETKIR",NA,"kirtlands warbler"
NA,"CMWA",NA,"Cape May Warbler","Setophaga tigrina","SETTIG",NA,"cape may warbler"
NA,"CERW","*","Cerulean Warbler","Setophaga cerulea","SETCER",NA,"cerulean warbler"
NA,"NOPA",NA,"Northern Parula","Setophaga americana","SETAME",NA,"northern parula"
"+","SUWA",NA,"Sutton's Warbler","Setophaga americana x dominica","SETAMD",NA,"suttons warbler"
NA,"TRPA",NA,"Tropical Parula","Setophaga pitiayumi","SETPIM","*","tropical parula"
NA,"MAWA",NA,"Magnolia Warbler","Setophaga magnolia","SETMAG",NA,"magnolia warbler"
NA,"BBWA",NA,"Bay-breasted Warbler","Setophaga castanea","SETCAS",NA,"bay breasted warbler"
NA,"BLBW","*","Blackburnian Warbler","Setophaga fusca","SETFUS",NA,"blackburnian warbler"
NA,"YEWA",NA,"Yellow Warbler","Setophaga petechia","SETPET",NA,"yellow warbler"
"+","MANW","*","Mangrove Warbler","Setophaga petechia erithachorides","SETPER",NA,"mangrove warbler"
NA,"CSWA",NA,"Chestnut-sided Warbler","Setophaga pensylvanica","SETPEN",NA,"chestnut sided warbler"
NA,"BLPW","*","Blackpoll Warbler","Setophaga striata","SETSTR",NA,"blackpoll warbler"
NA,"BTBW",NA,"Black-throated Blue Warbler","Setophaga caerulescens","SETCAE",NA,"black throated blue warbler"
NA,"PAWA",NA,"Palm Warbler","Setophaga palmarum","SETPAL",NA,"palm warbler"
"+","WPWA",NA,"Western Palm Warbler","Setophaga palmarum palmarum","SETPPA",NA,"western palm warbler"
"+","YPWA",NA,"Yellow Palm Warbler","Setophaga palmarum hypochrysea","SETPHY",NA,"yellow palm warbler"
NA,"OCAW","*","Olive-capped Warbler","Setophaga pityophila","SETPIP","*","olive capped warbler"
NA,"PIWA",NA,"Pine Warbler","Setophaga pinus","SETPIN",NA,"pine warbler"
NA,"YRWA",NA,"Yellow-rumped Warbler","Setophaga coronata","SETCOR",NA,"yellow rumped warbler"
"+","MYWA",NA,"Myrtle Warbler","Setophaga coronata coronata","SETCCO",NA,"myrtle warbler"
"+","AUWA",NA,"Audubon's Warbler","Setophaga coronata auduboni","SETCAU",NA,"audubons warbler"
