"","CommonName","Year","ArrivalDate","ob","ArrivalDateJulian"
"459","brown headed cowbird","1902",1902-03-01,"Walter",60
"460","brown headed cowbird","1903",1903-03-14,"Walter",73
"461","chipping sparrow","1898",1898-04-13,"Walter",103
"462","chipping sparrow","1899",1899-04-18,"Walter",108
"463","chipping sparrow","1900",1900-04-08,"Walter",98
"464","chipping sparrow","1901",1901-04-08,"Walter",98
"465","chipping sparrow","1902",1902-04-13,"Walter",103
"466","chipping sparrow","1903",1903-04-12,"Walter",102
"467","chimney swift","1898",1898-04-30,"Walter",120
"468","chimney swift","1899",1899-05-11,"Walter",131
"469","chimney swift","1900",1900-04-30,"Walter",120
"470","chimney swift","1901",1901-04-17,"Walter",107
"471","chimney swift","1902",1902-04-22,"Walter",112
"472","chimney swift","1903",1903-05-05,"Walter",125
"473","black capped chickadee","1900",1900-03-19,"Walter",78
"474","black capped chickadee","1901",1901-04-13,"Walter",103
"475","chestnut sided warbler","1898",1898-05-10,"Walter",130
"476","chestnut sided warbler","1899",1899-05-30,"Walter",150
"477","chestnut sided warbler","1900",1900-05-03,"Walter",123
"478","chestnut sided warbler","1901",1901-05-07,"Walter",127
"479","chestnut sided warbler","1902",1902-05-02,"Walter",122
"480","chestnut sided warbler","1903",1903-05-09,"Walter",129
"481","cedar waxwing","1899",1899-03-27,"Walter",86
"482","cedar waxwing","1901",1901-05-16,"Walter",136
"483","cedar waxwing","1902",1902-04-24,"Walter",114
"484","cedar waxwing","1903",1903-04-05,"Walter",95
"485","gray catbird","1898",1898-05-01,"Walter",121
"486","gray catbird","1899",1899-04-28,"Walter",118
"487","gray catbird","1900",1900-04-30,"Walter",120
"488","gray catbird","1901",1901-04-28,"Walter",118
"489","gray catbird","1902",1902-03-26,"Walter",85
"490","gray catbird","1903",1903-05-05,"Walter",125
"491","northern cardinal","1900",1900-04-25,"Walter",115
"492","cape may warbler","1899",1899-05-01,"Walter",121
"493","cape may warbler","1900",1900-05-02,"Walter",122
"494","cape may warbler","1901",1901-05-05,"Walter",125
"495","cape may warbler","1902",1902-05-02,"Walter",122
"496","cape may warbler","1903",1903-05-09,"Walter",129
"497","canada warbler","1899",1899-05-16,"Walter",136
"498","canada warbler","1900",1900-05-12,"Walter",132
